380    	586    	1
446    	570    	1
566    	276    	2
617    	132    	2
610    	115    	2
592    	151    	2
669    	214    	2
576    	302    	2
575    	285    	2
548    	310    	2
570    	317    	2
593    	301    	2
584    	267    	2
558    	273    	2
546    	282    	2
589    	312    	2
588    	291    	2
603    	290    	2
678    	196    	2
712    	190    	2
734    	248    	2
703    	247    	2
677    	252    	2
685    	224    	2
718    	216    	2
706    	229    	2
663    	226    	2
607    	136    	2
594    	281    	2
559    	291    	2
653    	234    	2
637    	212    	2
690    	179    	2
582    	152    	2
592    	120    	2
599    	138    	2
607    	155    	2
698    	205    	2
649    	180    	2
658    	195    	2
656    	210    	2
675    	243    	2
693    	261    	2
713    	263    	2
727    	235    	2
693    	240    	2
447    	215    	2
493    	156    	2
587    	116    	2
571    	112    	2
446    	233    	2
578    	97    	2
465    	238    	2
492    	236    	2
468    	166    	2
445    	186    	2
431    	254    	2
506    	217    	2
490    	179    	2
419    	447    	2
497    	587    	2
405    	446    	2
595    	465    	2
482    	468    	2
464    	431    	2
510    	490    	2
469    	497    	2
426    	405    	2
473    	482    	2
570    	510    	2
394    	469    	2
512    	473    	2
586    	512    	2
