380    	223    	1
394    	202    	1
419    	447    	1
426    	546    	1
405    	445    	1
431    	510    	1
669    	214    	2
576    	302    	2
575    	285    	2
570    	317    	2
593    	301    	2
584    	267    	2
558    	273    	2
589    	312    	2
588    	291    	2
603    	290    	2
678    	196    	2
712    	190    	2
734    	248    	2
703    	247    	2
677    	252    	2
685    	224    	2
718    	216    	2
706    	229    	2
663    	226    	2
566    	276    	2
594    	281    	2
559    	291    	2
653    	234    	2
637    	212    	2
690    	179    	2
698    	205    	2
649    	180    	2
658    	195    	2
656    	210    	2
675    	243    	2
693    	261    	2
713    	263    	2
727    	235    	2
693    	240    	2
447    	215    	2
548    	310    	2
446    	233    	2
469    	186    	2
497    	201    	2
473    	222    	2
482    	199    	2
446    	171    	2
464    	205    	2
506    	217    	2
490    	179    	2
546    	282    	2
512    	469    	2
465    	473    	2
468    	446    	2
510    	490    	2
493    	465    	2
492    	468    	2
445    	464    	2
