380    	223    	1
394    	202    	1
419    	426    	1
405    	219    	1
446    	482    	1
446    	464    	1
431    	512    	1
669    	214    	2
690    	179    	2
698    	205    	2
678    	196    	2
712    	190    	2
734    	248    	2
703    	247    	2
677    	252    	2
685    	224    	2
718    	216    	2
706    	229    	2
653    	234    	2
637    	212    	2
649    	180    	2
658    	195    	2
656    	210    	2
675    	243    	2
693    	261    	2
713    	263    	2
727    	235    	2
693    	240    	2
663    	226    	2
447    	215    	2
492    	236    	2
468    	166    	2
445    	186    	2
465    	238    	2
506    	217    	2
490    	179    	2
469    	186    	2
497    	201    	2
482    	468    	2
464    	205    	2
510    	490    	2
493    	497    	2
426    	226    	2
473    	510    	2
512    	493    	2
